protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,91.233.223.147,3128,Russia,RU,Sochi,transparent,true,57.71,AS57753,Radist LTD,378.53,1784330220.0183392
http,109.172.116.18,7890,Russia,RU,Moscow,elite,true,69.91,AS29182,JSC IOT,399.98,1784330219.005346
http,45.91.55.95,443,Russia,RU,Moscow,elite,true,59.21,AS213220,Delta Ltd,265.69,1784330197.5194705
http,81.177.165.209,10808,Russia,RU,Ryazan,elite,true,91.82,AS8342,RTCOMM,5012.13,1784330186.276344
http,144.31.222.106,7890,Russia,RU,Moscow,elite,true,25.72,AS202831,Ablaykhan Akylbekovich Sharimov,650.86,1784330183.4628603
http,176.12.65.24,443,Russia,RU,Khimki,elite,true,84.22,AS29182,WEBDC,231.94,1784330178.300913
http,195.182.143.142,9050,Russia,RU,St Petersburg,transparent,true,36.44,AS6858,"JSC ""Severen-Telecom""",7728.17,1784330175.6762168
http,45.144.30.59,808,Russia,RU,Moscow,elite,true,40.95,AS33993,UFO Hosting LLC,7437.12,1784330174.339056
http,5.165.225.172,3128,Russia,RU,Yekaterinburg,elite,true,50.65,AS51604,"CJSC ""ER-Telecom Holding"" Yekaterinburg branch",9214.37,1784330167.3910594
http,77.223.107.108,3128,Russia,RU,Moscow,transparent,true,27.34,AS50340,Selectel,1158.38,1784330152.659685
http,46.173.211.221,12880,Russia,RU,Moscow,elite,true,8.67,AS47196,Garant-Park-Internet Ltd,7654.06,1784330150.3942046
http,178.250.159.127,80,Russia,RU,Novoivanovskoye,transparent,true,43.24,AS29182,JSC IOT,281.03,1784330130.9687
http,80.252.137.246,1194,Russia,RU,Balashikha,elite,true,22.75,AS21453,for Flex Ltd,3223.67,1784330123.7069132
http,89.17.35.212,8080,Russia,RU,Moscow,elite,true,15.02,AS201825,Rusphone OOO,3850.68,1784330112.7403038
http,45.66.55.164,8081,Russia,RU,Moscow,transparent,true,22.81,AS204829,Onet Group Ltd.,3597.37,1784330111.8469174
http,217.114.8.131,5555,Russia,RU,Yekaterinburg,transparent,true,31.83,AS198610,LLC Skynet,4901.13,1784330099.2475328
http,2.59.43.253,22222,Russia,RU,St Petersburg,transparent,true,91.52,AS9123,"JSC ""TIMEWEB""",1485.78,1784330055.865033
http,194.186.248.97,80,Russia,RU,Krasnoyarsk,transparent,true,8.04,AS3216,GOLDEN Telecom,14094.08,1784330042.0105653
http,80.82.55.71,80,Russia,RU,Voronezh,transparent,true,7.13,AS21017,CenterTelecom Voronezh ISP,2059.18,1784330024.152079
http,62.109.1.115,3128,Russia,RU,Khimki,elite,true,28.13,AS29182,WEBDC,1111.42,1784330269.112136
http,95.181.83.3,3128,Russia,RU,Kemerovo,transparent,true,12.96,AS39927,Goodline.info,2821.88,1784330266.3038733
http,92.39.129.50,1256,Russia,RU,Moscow,transparent,true,36.65,AS8595,OOO WestCall Ltd,2702.35,1784330260.3278368
http,93.77.191.156,8118,Russia,RU,Moscow,elite,true,99.91,AS200350,Yandex.Cloud LLC,171.01,1784330258.8021252
http,194.87.244.192,80,Russia,RU,Moscow,transparent,true,20.66,AS214822,MT FINANCE LLC,10689.64,1784330241.4395053
http,159.194.228.40,8888,Russia,RU,St Petersburg,elite,true,77.43,AS198610,Beget LLC,10992.76,1784330239.0018191
http,202.49.176.24,2080,Russia,RU,Moscow,elite,true,87.2,AS50340,JSC Selectel,186.06,1784330234.7242591
http,91.224.77.229,8090,Russia,RU,Moscow,transparent,true,35.27,AS44927,LLC Telecom MPK,3469.23,1784330227.5195153
http,2.56.178.88,808,Russia,RU,Moscow,elite,true,63.16,AS33993,UFO Hosting LLC,209.39,1784330209.715831
http,158.160.106.224,80,Russia,RU,Moscow,elite,true,34.84,AS200350,Yandex.Cloud LLC,8742.86,1784330115.3834078
http,159.194.228.26,1080,Russia,RU,St Petersburg,elite,true,98.21,AS198610,Beget LLC,8262.93,1784330108.5189648
http,185.125.19.32,3128,Russia,RU,Moscow,transparent,true,42.01,AS62222,QuickSoft LLC,12027.93,1784330042.7259216
http,213.226.127.45,8000,Russia,RU,St Petersburg,elite,true,75.63,AS9123,Gavlegardarna AB,3236.68,1784330256.9620292
