protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,220.158.234.84,1080,Cambodia,KH,Phnom Penh,elite,true,99.76,AS38623,BUCT,4331.52,1784330217.1664867
socks5,220.158.233.26,1080,Cambodia,KH,Phnom Penh,elite,true,99.39,AS38623,BUCT,4917.71,1784330177.2435493
socks5,110.235.247.206,1080,Cambodia,KH,Phnom Penh,elite,true,50.7,AS23673,COGETEL Co,15772.48,1784330156.6655302
socks5,220.158.232.118,1080,Cambodia,KH,Phnom Penh,elite,true,98.81,AS38623,BUCT,1969.81,1784330154.8685215
socks5,202.62.62.113,1080,Cambodia,KH,Phnom Penh,elite,true,55.69,AS23673,"COGETEL Co., Ltd",1722.08,1784330267.9772036
socks5,203.189.153.170,1080,Cambodia,KH,Phnom Penh,elite,true,51.81,AS23673,ONLINE,1275.41,1784330265.7829797
socks5,202.62.42.167,1080,Cambodia,KH,Phnom Penh,elite,true,50.97,AS23673,"COGETEL Co., Ltd",4337.95,1784330262.768602
socks5,185.175.229.58,1080,Cambodia,KH,Phnom Penh,elite,true,54.63,AS24492,WiCAM Corporation Ltd,8701.92,1784330261.980853
socks5,203.189.135.140,1080,Cambodia,KH,Phnom Penh,elite,true,57.17,AS23673,COGETEL Co,3028.38,1784330222.061135
socks5,103.197.241.209,1080,Cambodia,KH,Phnom Penh,elite,true,51.25,AS23673,"COGETEL Co., Ltd",1534.94,1784330194.8855667
socks5,202.79.26.242,1080,Cambodia,KH,Phnom Penh,elite,true,54.58,AS24492,WiCAM Corporation Ltd.,3083.51,1784330166.437499
socks5,203.189.135.73,1080,Cambodia,KH,Phnom Penh,elite,true,58.48,AS23673,COGETEL Co,10056.23,1784330155.2768817
